"Speaker","Bigram","n","log_odds"
"KAMALA HARRIS","of the",51,0.104510334245816
"BOOKER","of the",47,0.0883373175886455
"KAMALA HARRIS","in the",46,0.144442848567784
"KAMALA HARRIS",NA,40,0.469213595022241
"KAMALA HARRIS","United States",34,0.492550040835444
"KAMALA HARRIS","the United",32,0.453014170268765
"KAMALA HARRIS","I will",29,0.662948200342983
"BOOKER","that we",28,0.243830214315885
"BOOKER","going to",27,-0.00687421948082392
"KAMALA HARRIS","going to",27,-0.029761936727698
"BOOKER","have a",26,0.248917601051975
"BOOKER","in the",26,-0.0703478985475411
"BOOKER",NA,25,0.210288429006968
"KAMALA HARRIS","to be",23,0.0316588631959148
"BOOKER","I will",22,0.47251660975857
"KAMALA HARRIS","on the",22,0.137345229004731
"KAMALA HARRIS","and I",21,0.223114950444114
"KAMALA HARRIS","tell you",20,0.568256658076723
"BOOKER","right now",19,0.570854923357049
"BOOKER","want to",19,0.0486114270180513
"KAMALA HARRIS","And I",19,0.175759130042279
"KAMALA HARRIS","I have",19,0.222577981949166
"BOOKER","the United",18,0.169149835837645
"BOOKER","United States",18,0.167273285661653
"BOOKER","we have",18,0.0687446993001249
"KAMALA HARRIS","that is",18,0.323078200419233
"BOOKER","Donald Trump",17,0.871864170403468
"BOOKER","need to",17,0.171051317877067
"BOOKER","this is",17,0.378263428251617
"BOOKER","we are",17,0.36111425104587
"KAMALA HARRIS","have to",17,0.0138101496378569
"KAMALA HARRIS","in America",17,0.497179141575692
"KAMALA HARRIS","to the",17,-0.0114925377068666
"BOOKER","in our",16,0.444608178096298
"BOOKER","to the",16,-0.0102802829057571
"KAMALA HARRIS","need to",16,0.135666237022611
"KAMALA HARRIS","that we",16,0.0135102397749255
"KAMALA HARRIS","will be",16,0.346071632073833
"BOOKER","We have",15,0.248969515845422
"KAMALA HARRIS","Donald Trump",15,0.754545037767308
"KAMALA HARRIS","have been",15,0.298287478130633
"BOOKER","is a",14,0.101492234327683
"BOOKER","is not",14,0.283222023680972
"BOOKER","on the",14,0.0071881683068679
"KAMALA HARRIS","and the",14,0.0570770282520172
"KAMALA HARRIS","I think",14,-0.155637356195986
"KAMALA HARRIS","I was",14,0.201300178968695
"KAMALA HARRIS","we need",14,0.18066798798286
"BOOKER","out of",13,0.199736754268084
"BOOKER","the people",13,0.224000281675106
"KAMALA HARRIS","Department of",13,1.18737872752032
"KAMALA HARRIS","in a",13,0.15658749076051
"KAMALA HARRIS","of Justice",13,2.6004368064868
"KAMALA HARRIS","on this",13,0.261956691137671
"KAMALA HARRIS","we have",13,-0.0372229685698012
"BOOKER","I have",12,0.0754843142041147
"BOOKER","this country",12,0.062404118587353
"BOOKER","This is",12,0.279940334719703
"KAMALA HARRIS","health care",12,0.155121598949852
"KAMALA HARRIS","I am",12,0.257313968182727
"KAMALA HARRIS","not be",12,0.59615045187107
"KAMALA HARRIS","talk about",12,0.281844857833564
"BOOKER","And so",11,0.436196423218784
"BOOKER","and the",11,0.00902212700125697
"BOOKER","as a",11,0.177031868442566
"BOOKER","in this",11,0.0521677345980817
"BOOKER","one of",11,0.14446406870231
"BOOKER","that I",11,0.0908610992882288
"KAMALA HARRIS","I would",11,0.0439455801643512
"KAMALA HARRIS","one of",11,0.133962331325193
"BOOKER","criminal justice",10,1.11126262074909
