"Speaker","Unigram","n","log_odds"
"KAMALA HARRIS","the",342,-0.0849899262003765
"BOOKER","the",308,-0.120695251109245
"KAMALA HARRIS","to",264,-0.0968632701724228
"BOOKER","to",239,-0.120720280108488
"KAMALA HARRIS","of",223,0.23062744455134
"KAMALA HARRIS","I",217,0.341941449471004
"KAMALA HARRIS","and",190,0.104321973762817
"KAMALA HARRIS","that",190,0.0917853771976167
"BOOKER","and",182,0.123553143478715
"BOOKER","of",181,0.0724050192902247
"BOOKER","that",178,0.0901358326751857
"KAMALA HARRIS","a",160,-0.00486301154952803
"BOOKER","a",149,-0.00556167378156663
"KAMALA HARRIS","in",136,-0.034374826850368
"BOOKER","is",134,0.287728047037829
"BOOKER","in",131,-0.00717980875269922
"BOOKER","we",131,0.32821112140656
"BOOKER","I",128,-0.101552382994299
"KAMALA HARRIS","is",123,0.162930385450328
"BOOKER","this",112,0.521805159496681
"KAMALA HARRIS","you",97,-0.0859796171857465
"KAMALA HARRIS","have",95,0.0483011199630233
"KAMALA HARRIS","we",93,0.00504953683499207
"KAMALA HARRIS","And",86,0.207573286215861
"BOOKER","have",81,-0.0114610904278648
"KAMALA HARRIS","this",79,0.184697824281263
"KAMALA HARRIS","on",78,0.196918880075426
"BOOKER","are",76,0.296299422549639
"KAMALA HARRIS","be",75,0.24617651510403
"KAMALA HARRIS","for",70,0.0113788374461332
"KAMALA HARRIS","will",70,0.535736749377542
"KAMALA HARRIS","not",68,0.204186694141263
"BOOKER","on",67,0.130508097832829
"BOOKER","And",65,0.0592718305892959
"BOOKER","not",63,0.186323047584989
"BOOKER","for",62,-0.0169872128627521
"BOOKER","our",61,0.255111903416426
"BOOKER","We",59,0.395428323587145
"KAMALA HARRIS","about",56,0.245253050927198
"KAMALA HARRIS","who",56,0.406100214308454
"KAMALA HARRIS","it",54,-0.104964590675858
"KAMALA HARRIS","people",54,0.152975279879503
"KAMALA HARRIS","they",53,0.273790163330323
"BOOKER","people",52,0.160811059949264
"BOOKER","you",50,-0.351635256333094
"BOOKER","it",46,-0.135264854700394
"BOOKER","with",46,0.0240298943692297
"BOOKER","because",45,0.382891264028034
"KAMALA HARRIS","are",45,-0.0444904524024512
"KAMALA HARRIS","our",43,0.0278353197288411
"KAMALA HARRIS","was",42,0.0987092897669025
"KAMALA HARRIS","what",41,0.0662153659400777
"KAMALA HARRIS","plan",40,0.794420869061553
"BOOKER","will",39,0.15844274158818
"KAMALA HARRIS","with",38,-0.089826684862959
"KAMALA HARRIS","been",37,0.293004691396311
"KAMALA HARRIS","has",37,0.178127933620868
"BOOKER","about",36,0.0380949813555441
"BOOKER","my",34,0.23831409608354
"KAMALA HARRIS","do",34,-0.0773720098462926
"KAMALA HARRIS","States",34,0.479232088592422
"KAMALA HARRIS","United",34,0.467010328312206
"BOOKER","I'm",33,0.214003591857749
"BOOKER","now",32,0.329506098524837
"KAMALA HARRIS","APPLAUSE",32,0.986875510653871
"KAMALA HARRIS","my",32,0.186186593385164
"BOOKER","an",31,0.197992813531569
